statement_id,mean,median,mode,std
0,0.0,0.0,0,0.0
1,1.1,1.0,1,0.31622776601683794
2,0.0,0.0,0,0.0
3,1.5,1.5,1,0.5270462766947299
4,0.0,0.0,0,0.0
5,1.0,1.0,1,0.0
6,0.0,0.0,0,0.0
7,0.0,0.0,0,0.0
8,0.1,0.0,0,0.31622776601683794
9,0.1,0.0,0,0.31622776601683794
10,2.0,2.0,2,0.0
11,1.3,1.0,1,0.48304589153964794
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,1.5,1.5,1,0.5270462766947299
16,1.6,2.0,2,0.5163977794943222
17,2.0,2.0,2,0.0
18,1.0,1.0,1,0.0
19,0.4,0.0,0,0.8432740427115679
20,0.0,0.0,0,0.0
21,1.3,1.0,1,0.4830458915396479
22,1.0,1.0,1,0.0
23,0.0,0.0,0,0.0
24,1.2,1.0,1,0.4216370213557839
25,0.2,0.0,0,0.42163702135578396
26,1.0,1.0,1,0.0
27,0.0,0.0,0,0.0
28,1.0,1.0,1,0.0
29,1.1,1.0,1,0.31622776601683794
30,0.0,0.0,0,0.0
31,0.0,0.0,0,0.0
32,0.0,0.0,0,0.0
33,1.0,1.0,1,0.0
34,0.0,0.0,0,0.0
35,0.0,0.0,0,0.0
36,0.0,0.0,0,0.0
37,0.0,0.0,0,0.0
