statement_id,mean,median,mode,std
0,0.0,0.0,0,0.0
1,1.0,1.0,1,0.4714045207910317
2,0.0,0.0,0,0.0
3,1.0,1.0,1,0.0
4,0.0,0.0,0,0.0
5,1.0,1.0,1,0.0
6,0.0,0.0,0,0.0
7,0.1,0.0,0,0.31622776601683794
8,1.0,1.0,1,0.0
9,0.0,0.0,0,0.0
10,1.0,1.0,1,0.0
11,1.1,1.0,1,0.31622776601683794
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.0,0.0,0,0.0
15,1.3,1.0,1,0.48304589153964794
16,0.2,0.0,0,0.4216370213557839
17,0.4,0.0,0,0.8432740427115678
18,1.0,1.0,1,0.0
19,0.2,0.0,0,0.6324555320336759
20,0.0,0.0,0,0.0
21,1.7,2.0,2,0.4830458915396479
22,1.1,1.0,1,0.7378647873726218
23,0.0,0.0,0,0.0
24,1.0,1.0,1,0.0
25,0.0,0.0,0,0.0
26,1.8,2.0,2,0.4216370213557839
27,0.0,0.0,0,0.0
28,1.1,1.0,1,0.31622776601683794
29,0.5,0.0,0,0.8498365855987975
30,0.0,0.0,0,0.0
31,0.0,0.0,0,0.0
32,0.0,0.0,0,0.0
33,0.6,1.0,1,0.5163977794943222
34,1.3,1.0,1,0.4830458915396479
35,0.0,0.0,0,0.0
36,0.0,0.0,0,0.0
37,0.7,1.0,1,0.6749485577105528
