statement_id,mean,median,mode,std
0,1.0,1.0,1,0.0
1,0.0,0.0,0,0.0
2,0.0,0.0,0,0.0
3,1.0,1.0,1,0.0
4,1.1,1.0,1,0.31622776601683794
5,1.0,1.0,1,0.4714045207910317
6,1.1,1.0,1,0.31622776601683794
7,0.5,0.0,0,0.8498365855987975
8,1.0,1.0,1,0.0
9,0.2,0.0,0,0.6324555320336759
10,1.2,2.0,2,1.0327955589886444
11,1.3,1.0,1,0.4830458915396479
12,0.0,0.0,0,0.0
13,0.0,0.0,0,0.0
14,0.2,0.0,0,0.6324555320336759
15,1.9,2.0,2,0.31622776601683794
16,0.0,0.0,0,0.0
17,1.8,2.0,2,0.6324555320336759
18,1.5,2.0,2,0.7071067811865476
19,1.2,1.0,1,0.4216370213557839
20,0.0,0.0,0,0.0
21,2.0,2.0,2,0.0
22,2.0,2.0,2,0.0
23,0.0,0.0,0,0.0
24,1.8,2.0,2,0.4216370213557839
25,1.5,2.0,2,0.8498365855987975
26,0.2,0.0,0,0.4216370213557839
27,1.0,1.0,1,0.0
28,1.1,1.0,1,0.31622776601683794
29,0.0,0.0,0,0.0
30,1.7,2.0,2,0.4830458915396479
31,0.0,0.0,0,0.0
32,0.4,0.0,0,0.8432740427115679
33,0.0,0.0,0,0.0
34,0.0,0.0,0,0.0
35,1.0,1.0,1,0.0
36,0.6,0.0,0,0.9660917830792959
37,0.0,0.0,0,0.0
